id,data,plataforma,curso,categoria,carga_horaria,status,nota,certificado
1,2023-02-10,DIO,Introdução ao Git e GitHub,DevOps,4,Concluído,88,Sim
2,2023-03-15,DIO,Introdução ao Python,Programação,10,Concluído,85,Sim
3,2023-05-20,Alura,HTML e CSS para Iniciantes,Front-end,20,Concluído,90,Sim
4,2023-07-10,Udemy,JavaScript do Zero ao Avançado,Front-end,52,Em andamento,,Não
5,2023-09-05,DIO,Fundamentos de SQL,Dados,8,Concluído,80,Não
6,2023-10-18,Coursera,Python for Everybody,Programação,30,Em andamento,,Não
7,2023-11-01,Alura,Java Orientado a Objetos,Programação,35,Concluído,75,Sim
8,2024-01-12,DIO,Linux Essentials,DevOps,6,Concluído,82,Não
9,2024-03-08,Udemy,APIs REST com Flask,Back-end,18,Não iniciado,,Não
10,2024-05-22,DIO,Cloud AWS Foundations,Cloud,15,Não iniciado,,Não
